qname,Preferred prefix
nidm:NIDM_0000071,nidm_ErrorParameterMapWiseDependence
nidm:NIDM_0000072,nidm_ConstantParameter
nidm:NIDM_0000073,nidm_IndependentParameter
nidm:NIDM_0000074,nidm_RegularizedParameter
nidm:NIDM_0000075,nidm_StandardizedCoordinateSystem
nidm:NIDM_0000076,nidm_StatisticMap
nidm:NIDM_0000077,nidm_SubjectCoordinateSystem
nidm:NIDM_0000078,nidm_TalairachCoordinateSystem
nidm:NIDM_0000079,nidm_TwoTailedTest
nidm:NIDM_0000080,nidm_VoxelConnectivityCriterion
nidm:NIDM_0000081,nidm_WorldCoordinateSystem
nidm:NIDM_0000082,nidm_clusterLabelId
nidm:NIDM_0000083,nidm_clusterSizeInVertices
nidm:NIDM_0000084,nidm_clusterSizeInVoxels
nidm:NIDM_0000085,nidm_contrastName
nidm:NIDM_0000086,nidm_coordinateVector
nidm:NIDM_0000087,nidm_DriftModel
nidm:NIDM_0000088,nidm_hasDriftModel
nidm:NIDM_0000089,nidm_dependenceMapWiseDependence
nidm:NIDM_0000090,nidm_dimensionsInVoxels
nidm:NIDM_0000091,nidm_effectDegreesOfFreedom
nidm:NIDM_0000092,nidm_equivalentZStatistic
nidm:NIDM_0000093,nidm_errorDegreesOfFreedom
nidm:NIDM_0000094,nidm_errorVarianceHomogeneous
nidm:NIDM_0000095,nidm_partialConjunctionDegree
nidm:NIDM_0000096,nidm_grandMeanScaling
nidm:NIDM_0000097,nidm_hasAlternativeHypothesis
nidm:NIDM_0000098,nidm_hasClusterLabelsMap
nidm:NIDM_0000099,nidm_hasConnectivityCriterion
nidm:NIDM_0000100,nidm_hasErrorDependence
nidm:NIDM_0000101,nidm_hasErrorDistribution
nidm:NIDM_0000102,nidm_hasHRFBasis
nidm:NIDM_0000103,nidm_hasMapHeader
nidm:NIDM_0000104,nidm_inCoordinateSpace
nidm:NIDM_0000105,nidm_inWorldCoordinateSystem
nidm:NIDM_0000106,nidm_isUserDefined
nidm:NIDM_0000107,nidm_maskedMedian
nidm:NIDM_0000108,nidm_maxNumberOfPeaksPerCluster
nidm:NIDM_0000109,nidm_minDistanceBetweenPeaks
nidm:NIDM_0000110,nidm_GaussianHRF
nidm:NIDM_0000111,nidm_numberOfSignificantClusters
nidm:NIDM_0000112,nidm_numberOfDimensions
nidm:NIDM_0000113,nidm_objectModel
nidm:NIDM_0000114,nidm_pValue
nidm:NIDM_0000115,nidm_pValueFWER
nidm:NIDM_0000116,nidm_pValueUncorrected
nidm:NIDM_0000117,nidm_pixel4connected
nidm:NIDM_0000118,nidm_pixel8connected
nidm:NIDM_0000119,nidm_qValueFDR
nidm:NIDM_0000120,nidm_randomFieldStationarity
nidm:NIDM_0000121,nidm_searchVolumeInVoxels
nidm:NIDM_0000122,nidm_softwareVersion
nidm:NIDM_0000123,nidm_statisticType
nidm:NIDM_0000124,nidm_targetIntensity
nidm:NIDM_0000125,nidm_userSpecifiedThresholdType
nidm:NIDM_0000126,nidm_varianceMapWiseDependence
nidm:NIDM_0000127,nidm_version
nidm:NIDM_0000128,nidm_voxel18connected
nidm:NIDM_0000129,nidm_voxel26connected
nidm:NIDM_0000130,nidm_voxel6connected
nidm:NIDM_0000131,nidm_voxelSize
nidm:NIDM_0000132,nidm_voxelToWorldMapping
nidm:NIDM_0000133,nidm_voxelUnits
nidm:NIDM_0000134,nidm_withEstimationMethod
nidm:NIDM_0000135,nidm_ContrastVarianceMap
nidm:NIDM_0000136,nidm_searchVolumeInUnits
nidm:NIDM_0000137,nidm_searchVolumeInVertices
nidm:NIDM_0000138,nidm_hasMaximumIntensityProjection
nidm:NIDM_0000139,nidm_coordinateVectorInVoxels
nidm:NIDM_0000140,nidm_ClusterCenterOfGravity
nidm:NIDM_0000141,nidm_expectedNumberOfClusters
nidm:NIDM_0000142,nidm_expectedNumberOfVerticesPerCluster
nidm:NIDM_0000143,nidm_expectedNumberOfVoxelsPerCluster
nidm:NIDM_0000144,nidm_ReselsPerVoxelMap
nidm:NIDM_0000145,nidm_noiseRoughnessInVoxels
nidm:NIDM_0000146,nidm_heightCriticalThresholdFDR05
nidm:NIDM_0000147,nidm_heightCriticalThresholdFWE05
nidm:NIDM_0000148,nidm_reselSizeInVoxels
nidm:NIDM_0000149,nidm_searchVolumeInResels
nidm:NIDM_0000150,nidm_LinearSplineBasisSet
nidm:NIDM_0000151,nidm_SineBasisSet
nidm:NIDM_0000156,nidm_clusterSizeInResels
nidm:NIDM_0000157,nidm_noiseFWHMInUnits
nidm:NIDM_0000158,nidm_noiseFWHMInVertices
nidm:NIDM_0000159,nidm_noiseFWHMInVoxels
nidm:NIDM_0000160,nidm_PValueUncorrected
nidm:NIDM_0000161,nidm_equivalentThreshold
nidm:NIDM_0000162,nidm_Threshold
nidm:NIDM_0000163,nidm_ContrastExplainedMeanSquareMap
nidm:NIDM_0000164,nidm_NeuroimagingAnalysisSoftware
nidm:NIDM_0000165,nidm_NIDMResultsExporter
nidm:NIDM_0000166,nidm_NIDMResultsExport
nidm:NIDM_0000167,nidm_nidmfsl
nidm:NIDM_0000168,nidm_spm_results_nidm
spm:SPM_0000001,spm_SPMsDriftCutoffPeriod
spm:SPM_0000002,spm_DCTDriftModel
spm:SPM_0000003,spm_SPMsDispersionDerivative
spm:SPM_0000004,spm_SPMsCanonicalHRF
spm:SPM_0000005,spm_PartialConjunctionInference
spm:SPM_0000006,spm_SPMsTemporalDerivative
spm:SPM_0000007,spm_noiseFWHMInUnits
spm:SPM_0000008,spm_noiseFWHMInVertices
spm:SPM_0000009,spm_noiseFWHMInVoxels
spm:SPM_0000010,spm_searchVolumeReselsGeometry
spm:SPM_0000011,spm_smallestSignificantClusterSizeInVerticesFDR05
spm:SPM_0000012,spm_smallestSignificantClusterSizeInVerticesFWE05
spm:SPM_0000013,spm_smallestSignificantClusterSizeInVoxelsFDR05
spm:SPM_0000014,spm_smallestSignificantClusterSizeInVoxelsFWE05
spm:SPM_0000015,spm_partialConjunctionDegree
